Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
3333600.00,22.02,13.93,0.00,1.89,402.00,378.09
3337200.00,22.81,14.17,0.00,2.60,747.64,362.82
3340800.00,23.81,14.08,0.00,1.92,787.45,358.09
3344400.00,23.89,14.20,0.00,1.69,435.36,381.73
3348000.00,23.63,14.50,0.00,1.82,308.91,387.55
3351600.00,24.37,14.84,0.00,3.16,616.36,382.36
3355200.00,24.19,15.03,0.00,3.28,509.36,365.00
3358800.00,22.84,14.66,0.00,3.01,275.00,331.82
3362400.00,21.53,14.07,0.00,2.45,83.55,316.55
3366000.00,19.82,13.47,0.00,2.37,7.73,329.00
3369600.00,18.27,12.90,0.00,1.89,0.00,307.64
3373200.00,16.92,12.54,0.00,1.57,0.00,314.09
3376800.00,15.81,11.97,0.00,1.41,0.00,318.73
3380400.00,14.59,11.34,0.00,0.61,0.00,307.36
3384000.00,13.78,10.31,0.00,0.10,0.00,315.00
3387600.00,12.86,9.86,0.00,0.00,0.00,288.55
3391200.00,11.19,8.97,0.00,0.00,0.00,271.91
3394800.00,10.56,8.65,0.00,0.00,0.00,271.91
3398400.00,11.41,9.64,0.00,0.00,5.55,290.18
3402000.00,13.67,11.19,0.00,1.14,124.82,314.91
3405600.00,15.69,11.58,0.00,2.45,327.73,284.73
3409200.00,16.34,11.57,0.00,2.85,487.00,287.09
3412800.00,17.22,11.13,0.00,3.01,610.27,284.55
3416400.00,18.64,10.03,0.00,2.95,787.82,303.64
3420000.00,19.43,9.49,0.00,3.21,871.91,300.73
3423600.00,20.40,8.93,0.00,2.75,957.55,295.09
3427200.00,21.19,7.43,0.00,3.21,940.45,289.45
3430800.00,21.67,6.77,0.00,3.03,862.55,291.00
3434400.00,21.95,8.11,0.00,3.01,682.91,297.00
3438000.00,21.85,9.08,0.91,2.83,576.82,297.36
3441600.00,21.38,9.54,1.00,2.90,428.91,291.27
3445200.00,20.46,10.19,1.00,2.65,249.45,280.91
3448800.00,19.12,9.81,1.00,2.73,72.45,270.55
3452400.00,17.23,9.21,1.00,1.49,1.64,263.91
3456000.00,15.76,8.73,0.73,1.64,0.00,266.27
3459600.00,15.17,8.62,0.00,1.49,0.00,266.27
3463200.00,13.92,8.23,0.00,0.30,0.00,261.55
3466800.00,11.70,7.75,0.00,0.00,0.00,256.45
3470400.00,9.79,7.03,0.00,0.00,0.00,253.00
3474000.00,8.29,6.12,0.00,0.00,0.00,249.64
3477600.00,7.06,5.16,0.00,0.00,0.00,247.27
3481200.00,6.24,4.51,0.00,0.00,0.00,246.91
3484800.00,6.07,4.46,0.00,0.00,6.55,246.64
3488400.00,8.12,5.90,0.00,0.00,132.91,248.82
3492000.00,12.80,8.22,0.00,0.00,320.82,259.18
3495600.00,17.03,8.32,0.00,0.96,495.36,271.27
3499200.00,18.95,7.75,0.00,1.79,654.82,279.36
3502800.00,20.09,7.15,0.00,2.17,791.64,284.09
3506400.00,21.47,8.11,0.00,1.79,887.82,290.82
3510000.00,22.82,8.75,0.00,1.79,932.82,298.55
3513600.00,24.51,9.02,0.00,2.37,929.00,304.64
3517200.00,25.58,9.04,0.00,2.45,871.64,308.45
3520800.00,26.54,8.60,0.00,1.97,760.64,311.00
3524400.00,27.09,8.42,0.00,1.46,611.09,309.64
3528000.00,27.20,8.40,0.00,1.14,442.73,306.00
3531600.00,26.65,7.80,0.00,1.21,251.36,297.36
3535200.00,25.34,9.60,0.00,0.68,70.64,293.00
3538800.00,22.02,11.59,0.00,0.20,1.73,291.45
3542400.00,20.22,11.42,0.00,0.00,0.00,289.73
3546000.00,18.70,11.17,0.00,0.20,0.00,288.64
3549600.00,15.93,10.97,0.00,0.20,0.00,288.27
3553200.00,13.97,10.40,0.00,0.00,0.00,287.09
3556800.00,12.21,9.56,0.00,0.00,0.00,281.64
3560400.00,10.92,8.77,0.00,0.00,0.00,273.82
3564000.00,9.72,7.83,0.00,0.00,0.00,267.36
3567600.00,8.73,7.07,0.09,0.00,0.00,263.73
3571200.00,7.98,6.38,0.00,0.00,8.45,261.73
3574800.00,10.01,7.89,0.00,0.00,132.09,260.64
3578400.00,13.97,9.78,0.00,0.00,316.09,266.36
3582000.00,17.42,11.21,0.00,0.00,489.91,277.18
3585600.00,21.97,12.23,0.00,0.20,644.45,292.91
3589200.00,25.17,9.56,0.09,1.14,779.91,304.91
3592800.00,27.09,7.47,0.18,1.34,872.82,312.18
3596400.00,28.68,6.54,0.00,0.91,913.64,320.73
3600000.00,30.04,6.77,0.00,0.98,904.27,331.45
3603600.00,31.35,4.09,0.00,0.98,841.82,334.36
3607200.00,31.95,5.46,0.00,0.48,725.00,338.18
3610800.00,32.11,7.84,0.00,0.58,574.45,340.64
3614400.00,31.99,8.88,0.00,0.78,399.91,340.73
3618000.00,31.44,9.69,0.00,0.20,211.27,339.27
3621600.00,28.93,13.62,0.00,0.00,51.18,334.45
3625200.00,24.30,15.56,0.00,0.00,1.55,337.45
3628800.00,21.44,15.01,0.00,0.00,0.00,325.09
3632400.00,19.41,14.21,0.00,0.00,0.00,331.27
3636000.00,18.91,13.87,0.36,0.00,0.00,330.64
3639600.00,18.98,13.83,0.09,0.00,0.00,326.45
3643200.00,18.14,13.63,0.00,0.00,0.00,323.55
3646800.00,16.49,13.25,0.00,0.00,0.00,319.91
3650400.00,15.29,12.79,0.00,0.00,0.00,319.91
3654000.00,14.62,12.46,0.09,0.00,0.00,318.27
3657600.00,14.57,12.65,0.00,0.00,10.64,342.18
3661200.00,15.87,13.25,0.00,0.00,72.59,331.36
3664800.00,18.77,13.88,0.00,0.00,227.82,312.91
3668400.00,21.59,13.39,0.00,0.20,366.91,318.82
3672000.00,24.25,12.76,0.00,1.46,559.00,333.00
3675600.00,26.66,12.24,0.00,1.46,727.82,340.64
3679200.00,28.99,10.64,0.00,1.64,838.45,353.36
3682800.00,30.70,12.31,0.00,0.93,816.00,368.82
3686400.00,30.80,13.68,0.00,1.67,747.82,381.36
3690000.00,31.02,14.55,0.00,1.94,557.18,387.73
3693600.00,28.80,15.53,0.00,2.68,317.64,392.45
3697200.00,27.48,14.95,0.00,2.12,253.73,385.73
3700800.00,27.06,14.91,0.00,2.35,373.36,368.27
3704400.00,26.14,14.58,0.00,1.64,177.55,357.36
3708000.00,24.56,14.70,0.00,1.26,52.18,340.36
3711600.00,23.27,13.96,0.00,0.00,6.55,357.73
3715200.00,22.09,14.45,0.00,0.00,0.00,370.27
3718800.00,21.12,13.97,0.00,0.00,0.00,359.00
3722400.00,20.30,14.03,0.00,0.10,0.00,340.36
3726000.00,19.83,14.75,0.00,0.00,0.00,344.82
3729600.00,19.28,15.28,0.00,0.00,0.00,355.36
3733200.00,18.67,14.84,0.00,0.10,0.00,367.82
3736800.00,18.51,14.74,0.00,0.10,0.00,366.00
3740400.00,17.90,14.83,0.00,0.00,0.00,332.73
3744000.00,16.78,14.55,0.00,0.00,4.91,323.55
3747600.00,17.87,15.71,0.00,0.00,27.45,380.45
3751200.00,18.99,16.51,0.00,0.00,72.00,394.55
3754800.00,20.27,16.40,0.00,0.00,305.36,374.45
3758400.00,21.52,16.22,0.00,0.20,469.73,362.18
3762000.00,22.87,16.27,0.00,0.30,468.00,368.09
3765600.00,23.47,16.11,0.00,0.10,320.27,376.73
3769200.00,23.82,16.37,0.09,0.20,566.45,377.73
3772800.00,26.37,14.50,0.00,0.48,749.91,355.00
3776400.00,27.11,14.52,0.00,0.40,410.64,378.18
3780000.00,24.18,16.32,0.18,1.29,216.91,411.27
3783600.00,24.25,17.46,0.00,1.29,603.00,365.45
3787200.00,25.92,16.98,0.00,0.91,257.91,383.36
3790800.00,26.01,16.53,0.00,1.49,247.18,342.64
3794400.00,24.22,16.92,0.00,0.73,68.55,332.27
3798000.00,22.60,16.93,0.00,0.00,3.73,327.27
3801600.00,20.00,17.00,0.00,0.00,0.00,322.73
3805200.00,18.23,16.29,0.00,0.00,0.00,317.45
3808800.00,17.04,15.45,0.00,0.00,0.00,313.64
3812400.00,15.81,14.48,0.00,0.00,0.00,307.91
3816000.00,14.72,13.47,0.00,0.00,0.00,303.82
3819600.00,13.93,12.77,0.00,0.00,0.00,322.00
3823200.00,13.65,12.65,0.00,0.00,0.00,341.73
3826800.00,13.91,13.04,0.00,0.00,0.00,370.73
3830400.00,14.01,13.23,0.00,0.00,4.09,372.45
3834000.00,14.61,13.91,0.00,0.00,38.55,381.09
3837600.00,15.17,14.52,0.00,0.00,102.45,385.73
3841200.00,16.18,15.58,0.09,0.00,225.55,386.73
3844800.00,18.39,17.50,0.00,0.00,575.18,334.91
3848400.00,22.87,17.98,0.00,0.10,765.36,324.73
3852000.00,26.29,17.44,0.00,0.38,882.36,340.64
3855600.00,27.64,15.97,0.00,1.11,754.55,346.00
3859200.00,28.68,14.94,0.00,0.68,714.82,346.64
3862800.00,30.09,11.59,0.00,0.91,863.27,340.09
3866400.00,30.99,8.87,0.00,0.68,759.00,334.09
3870000.00,31.71,6.39,0.00,0.20,602.27,322.00
3873600.00,31.38,8.52,0.00,0.48,401.73,327.91
3877200.00,29.65,9.81,0.00,1.34,154.91,333.36
3880800.00,26.98,13.08,0.00,0.00,40.91,334.73
3884400.00,23.47,15.70,0.00,0.00,6.91,330.00
3888000.00,20.64,15.35,0.00,0.00,0.00,335.36
3891600.00,18.97,14.84,0.00,0.00,0.00,328.00
3895200.00,17.33,14.16,0.18,0.00,0.00,314.55
3898800.00,15.84,13.20,0.36,0.00,0.00,304.36
3902400.00,14.40,12.31,0.09,0.00,0.00,299.55
3906000.00,13.47,11.59,0.00,0.00,0.00,297.18
3909600.00,12.63,10.87,0.09,0.00,0.00,298.27
3913200.00,12.27,10.69,0.00,0.00,0.00,309.73
3916800.00,12.27,10.71,0.00,0.00,12.82,306.55
3920400.00,13.79,11.78,0.00,0.00,106.45,304.64
3924000.00,16.77,13.41,0.00,0.00,251.00,307.82
3927600.00,21.20,15.24,0.00,0.10,399.45,319.36
3931200.00,25.02,16.02,0.00,1.06,628.00,338.45
3934800.00,27.29,15.37,0.00,1.41,688.91,353.55
3938400.00,29.19,13.36,0.00,2.45,843.36,361.18
3942000.00,29.21,12.45,0.00,3.86,789.82,374.09
3945600.00,27.05,14.69,0.00,1.82,350.09,387.00
3949200.00,27.84,15.74,0.00,1.74,652.09,381.55
3952800.00,26.44,16.95,0.00,2.55,305.91,388.09
3956400.00,26.42,17.72,0.00,1.67,477.82,384.18
3960000.00,25.89,17.97,0.00,2.35,328.36,377.00
3963600.00,24.68,17.17,0.00,2.25,134.00,383.55
3967200.00,24.11,16.79,0.00,1.69,73.82,347.45
3970800.00,22.86,16.56,0.00,0.10,6.91,373.00
3974400.00,20.73,16.68,0.00,1.21,0.00,355.64
3978000.00,18.54,15.98,0.00,1.49,0.00,314.91
3981600.00,18.16,15.90,0.00,0.48,0.00,339.18
3985200.00,17.55,15.61,0.00,0.10,0.09,340.09
3988800.00,16.79,15.10,0.00,0.00,0.00,330.82
3992400.00,16.22,14.82,0.00,0.00,0.00,359.64
3996000.00,16.23,14.93,0.00,0.00,0.00,334.27
3999600.00,15.13,13.88,0.00,0.00,0.00,338.64
4003200.00,15.49,14.36,0.00,0.00,2.36,384.64
4006800.00,15.80,14.60,0.00,0.00,39.36,379.36
4010400.00,16.53,14.86,0.00,0.20,151.82,368.36
4014000.00,18.24,14.44,0.00,0.00,337.18,327.91
4017600.00,19.99,14.19,0.00,0.10,555.00,324.09
4021200.00,22.37,13.72,0.00,0.58,731.73,333.18
4024800.00,24.25,13.87,0.00,0.48,813.36,337.82
4028400.00,26.08,14.58,0.00,1.06,847.45,348.09
4032000.00,27.09,15.61,0.09,1.97,807.18,366.55
4035600.00,27.63,16.20,0.00,2.20,867.09,374.36
4039200.00,27.94,16.40,0.00,2.58,745.91,371.00
4042800.00,28.18,16.34,0.00,2.93,586.91,359.73
4046400.00,27.71,16.19,0.00,2.37,415.45,353.27
4050000.00,27.13,16.30,0.00,2.07,226.36,346.64
4053600.00,26.15,16.34,0.00,1.79,88.64,361.73
4057200.00,24.35,16.26,0.00,0.10,3.73,344.00
4060800.00,22.19,16.35,0.00,0.00,0.00,349.55
4064400.00,21.05,16.67,0.00,0.00,0.00,374.91
4068000.00,21.43,16.91,0.00,0.20,0.00,388.55
4071600.00,20.63,16.78,0.00,0.10,0.00,335.73
4075200.00,18.56,16.04,0.00,0.00,0.00,313.73
4078800.00,16.87,14.92,0.00,0.00,0.00,306.45
4082400.00,15.27,13.69,0.00,0.00,0.00,299.91
4086000.00,13.94,12.61,0.00,0.00,0.00,297.73
4089600.00,13.07,11.88,0.00,0.00,5.36,291.64
4093200.00,14.30,12.80,0.00,0.00,105.73,293.18
4096800.00,19.14,12.52,0.00,1.19,283.09,307.00
4100400.00,22.16,13.18,0.36,2.45,449.27,319.27
4104000.00,24.09,13.23,1.00,3.51,602.91,331.18
4107600.00,25.42,13.79,1.00,3.28,733.18,339.27
4111200.00,26.46,14.62,1.00,3.43,837.09,350.36
4114800.00,27.21,14.60,0.82,4.49,907.14,359.64
4118400.00,27.93,14.18,0.00,3.96,678.82,380.00
4122000.00,27.69,13.70,0.09,2.65,382.64,394.91
4125600.00,26.07,13.84,0.36,2.63,107.64,395.27
4129200.00,20.63,16.54,0.36,2.27,97.36,409.27
4132800.00,17.54,16.05,0.55,0.66,49.64,409.55
4136400.00,16.46,15.33,0.73,0.20,82.91,407.64
4140000.00,17.44,16.39,0.73,0.10,12.27,405.64
4143600.00,17.54,16.53,0.64,0.00,0.00,385.09
4147200.00,17.61,16.69,0.09,0.00,0.00,386.27
4150800.00,16.85,15.65,0.00,0.00,0.00,382.09
4154400.00,16.00,14.17,0.00,0.10,0.00,379.09
4158000.00,15.79,13.83,0.00,0.00,0.00,376.45
4161600.00,15.16,13.19,0.00,0.00,0.00,372.36
4165200.00,14.64,12.33,0.00,0.00,0.00,367.55
4168800.00,14.29,12.21,0.00,0.00,0.00,364.36
4172400.00,13.99,11.82,0.00,0.00,0.00,362.36
4176000.00,13.86,11.56,0.00,0.00,5.09,347.64
4179600.00,14.49,11.94,0.00,0.00,94.18,315.09
4183200.00,15.31,11.10,0.00,0.10,288.64,287.36
4186800.00,16.46,10.42,0.00,0.10,490.00,275.55
4190400.00,18.07,9.79,0.00,0.61,701.55,292.91
4194000.00,19.04,8.97,0.00,0.51,593.45,298.45
4197600.00,20.12,8.50,0.00,0.38,903.27,291.09
4201200.00,21.17,8.05,0.00,0.88,945.82,289.18
4204800.00,22.15,5.87,0.00,1.46,945.91,284.91
4208400.00,23.00,7.17,0.00,1.26,884.73,287.36
4212000.00,23.82,9.14,0.00,1.24,772.09,292.82
4215600.00,24.16,9.79,0.00,2.05,624.36,291.82
4219200.00,24.31,8.26,0.00,1.64,458.45,281.91
4222800.00,23.83,7.59,0.00,1.57,257.36,272.64
4226400.00,22.43,8.51,0.00,0.98,66.45,268.45
4230000.00,19.38,9.69,0.00,0.10,1.27,268.27
4233600.00,15.36,10.15,0.00,0.00,0.00,266.09
4237200.00,12.88,9.74,0.00,0.00,0.00,264.09
4240800.00,11.36,8.97,0.00,0.00,0.00,262.73
4244400.00,10.16,8.22,0.00,0.00,0.00,259.91
4248000.00,9.26,7.53,0.00,0.00,0.00,258.91
4251600.00,8.46,6.85,0.00,0.00,0.00,257.45
4255200.00,7.69,6.17,0.00,0.00,0.00,251.18
4258800.00,6.90,5.46,0.00,0.00,0.00,249.82
4262400.00,6.55,5.16,0.00,0.00,4.09,251.18
4266000.00,8.09,6.45,0.00,0.00,111.73,255.18
4269600.00,11.80,8.71,0.00,0.00,301.91,263.09
4273200.00,14.87,8.98,0.00,0.00,480.45,272.09
4276800.00,18.74,8.42,0.00,0.00,641.27,282.45
4280400.00,22.76,5.26,0.00,0.00,776.09,292.73
4284000.00,25.54,5.28,0.00,0.00,872.91,303.27
4287600.00,26.79,6.21,0.00,0.10,920.36,311.64
4291200.00,28.04,6.31,0.00,0.56,912.45,318.91
4294800.00,28.63,6.65,0.00,1.19,849.91,322.45
4298400.00,28.96,7.34,0.00,1.74,742.55,324.18
4302000.00,28.96,7.77,0.00,1.99,598.45,321.45
4305600.00,28.62,8.73,0.00,1.82,428.36,322.00
4309200.00,26.82,12.59,0.00,3.03,234.55,322.27
4312800.00,23.59,12.02,0.00,2.53,40.27,320.27
4316400.00,21.57,12.57,0.00,1.41,4.09,328.55
4320000.00,19.71,13.23,0.00,0.20,0.00,316.18
4323600.00,18.45,13.74,0.00,0.00,0.00,334.55
4327200.00,18.75,13.98,0.00,0.10,0.00,340.64
4330800.00,18.18,13.94,0.00,0.28,0.00,359.91
4334400.00,17.84,14.04,0.00,0.30,0.00,379.36
4338000.00,17.72,13.69,0.00,0.51,0.00,386.27
4341600.00,17.38,13.38,0.00,0.10,0.00,381.91
4345200.00,17.34,13.64,0.00,0.00,0.00,358.73
4348800.00,16.50,13.70,0.00,0.00,9.36,320.55
4352400.00,16.13,13.60,0.00,0.10,58.00,330.27
4356000.00,17.08,12.30,0.00,0.10,105.36,366.27
4359600.00,18.19,10.77,0.00,0.68,270.00,355.45
4363200.00,19.33,11.45,0.00,0.40,359.55,364.45
4366800.00,19.47,12.59,0.00,1.26,300.55,375.27
4370400.00,19.83,12.56,0.00,0.83,394.45,366.91
4374000.00,19.21,12.76,0.00,2.75,472.18,353.55
4377600.00,16.85,11.65,0.00,2.37,254.09,349.45
4381200.00,16.93,11.00,0.00,2.47,546.91,341.91
4384800.00,17.92,11.02,0.00,2.10,556.55,323.73
4388400.00,18.61,10.79,0.00,0.68,350.09,346.18
4392000.00,18.48,10.44,0.00,1.41,167.36,353.55
4395600.00,17.98,10.54,0.00,2.07,189.27,296.27
4399200.00,17.06,10.27,0.00,1.46,56.64,277.73
4402800.00,15.49,9.88,0.00,0.51,2.27,277.55
4406400.00,14.12,9.45,0.00,0.61,0.00,277.09
4410000.00,13.53,9.51,0.00,1.16,0.00,278.09
4413600.00,13.38,8.71,0.27,1.64,0.00,267.36
4417200.00,12.31,8.06,0.64,0.30,0.00,257.64
4420800.00,10.83,7.56,0.00,0.00,0.00,252.82
4424400.00,10.17,6.98,0.09,0.00,0.00,250.82
4428000.00,9.60,6.36,0.09,0.00,0.00,248.27
4431600.00,9.59,6.15,0.00,0.51,0.00,247.55
4435200.00,10.02,5.99,0.00,0.96,3.55,246.55
4438800.00,11.13,6.16,0.00,0.38,107.64,246.64
4442400.00,12.59,6.42,0.00,2.05,303.55,252.45
4446000.00,14.15,6.62,0.00,2.45,484.45,259.82
4449600.00,15.59,6.16,0.00,2.75,650.09,265.36
4453200.00,16.74,6.40,0.00,3.08,786.82,272.00
4456800.00,18.10,7.05,0.00,2.45,884.73,279.18
4460400.00,19.45,7.04,0.00,2.42,935.00,285.09
4464000.00,20.50,7.40,0.00,2.85,928.64,289.09
4467600.00,21.29,6.94,0.00,3.01,869.27,290.27
4471200.00,21.87,7.10,0.00,3.28,759.45,291.00
4474800.00,21.89,6.97,0.00,3.36,611.55,289.55
4478400.00,21.70,6.97,0.00,3.03,442.55,286.45
4482000.00,21.01,7.81,0.00,3.08,242.18,284.45
4485600.00,19.85,8.10,0.00,2.55,59.73,280.55
4489200.00,18.01,8.06,0.00,1.79,1.18,276.09
4492800.00,16.11,8.10,0.18,0.78,0.00,272.82
4496400.00,14.79,8.09,0.09,0.10,0.00,269.18
4500000.00,12.36,7.68,0.00,0.00,0.00,266.09
4503600.00,10.57,7.22,0.00,0.00,0.00,262.55
4507200.00,9.05,6.55,0.00,0.00,0.00,261.09
4510800.00,8.44,6.28,0.00,0.00,0.00,261.00
4514400.00,8.56,6.32,0.00,0.10,0.00,260.82
4518000.00,7.85,5.67,0.00,0.00,0.00,257.82
4521600.00,7.01,5.07,0.00,0.00,3.36,255.09
4525200.00,8.57,6.08,0.00,0.00,103.00,255.27
4528800.00,12.20,7.40,0.00,0.00,296.09,262.09
4532400.00,16.24,9.21,0.00,0.10,471.91,275.64
4536000.00,20.01,9.11,0.00,1.09,634.73,286.55
4539600.00,21.91,7.00,0.00,1.89,772.45,291.18
4543200.00,23.01,6.21,0.00,2.10,873.82,295.18
4546800.00,23.93,7.29,0.00,2.10,920.64,302.45
4550400.00,25.03,7.50,0.00,2.15,916.18,306.64
4554000.00,26.03,6.37,0.00,1.99,856.27,308.18
4557600.00,26.72,4.39,0.00,2.07,750.73,305.18
4561200.00,27.02,4.19,0.00,2.25,602.91,304.09
4564800.00,27.09,4.06,0.00,1.83,433.68,303.41
4568400.00,26.21,4.90,0.00,1.94,232.09,300.55
4572000.00,24.20,7.64,0.00,1.29,55.64,298.09
4575600.00,21.34,8.08,0.09,0.68,1.18,292.27
4579200.00,19.87,7.30,0.09,0.28,0.00,290.36
4582800.00,18.20,7.94,0.00,0.10,0.00,287.82
4586400.00,15.06,8.25,0.00,0.00,0.00,283.91
4590000.00,13.05,7.97,0.00,0.00,0.00,279.73
4593600.00,11.45,7.81,0.00,0.00,0.00,275.18
4597200.00,10.07,7.29,0.00,0.00,0.00,271.82
4600800.00,8.97,6.73,0.00,0.00,0.00,269.45
4604400.00,8.20,6.19,0.00,0.00,0.00,268.91
4608000.00,7.70,5.83,0.00,0.00,3.00,266.91
4611600.00,9.37,6.91,0.00,0.00,96.91,265.73
4615200.00,12.90,8.48,0.00,0.00,291.64,271.27
4618800.00,16.93,9.98,0.00,0.00,460.45,281.64
4622400.00,20.41,10.79,0.00,0.00,630.64,291.82
4626000.00,23.48,10.59,0.00,0.76,769.00,302.18
4629600.00,25.14,7.25,0.00,1.49,866.27,308.45
4633200.00,26.00,5.74,0.00,1.57,903.00,311.64
4636800.00,26.57,7.91,0.00,1.92,911.73,316.55
4640400.00,27.27,7.26,0.00,2.75,847.82,317.00
4644000.00,27.52,6.32,0.00,2.88,754.18,313.18
4647600.00,27.56,6.88,0.00,2.37,602.18,311.73
4651200.00,27.44,6.33,0.00,2.12,432.73,306.00
4654800.00,26.85,5.49,0.00,2.15,227.55,297.73
4658400.00,25.52,6.27,0.00,0.83,56.00,293.55
4662000.00,21.28,8.79,0.00,0.00,0.64,290.55
4665600.00,16.85,9.89,0.00,0.10,0.00,291.82
4669200.00,15.06,9.07,0.00,0.00,0.00,295.55
4672800.00,13.82,8.90,0.00,0.00,0.00,296.45
4676400.00,12.83,8.93,0.00,0.00,0.00,325.45
4680000.00,12.78,9.02,0.00,0.00,0.00,323.00
4683600.00,12.33,8.92,0.00,0.00,0.00,296.73
4687200.00,11.58,8.72,0.00,0.00,0.00,310.00
4690800.00,11.81,9.17,0.00,0.00,0.00,348.00
4694400.00,12.37,9.51,0.00,0.00,7.00,347.64
4698000.00,13.50,10.17,0.00,0.10,47.55,328.64
4701600.00,15.57,11.80,0.09,0.20,92.00,364.64
4705200.00,16.92,12.23,0.00,0.10,150.82,363.09
4708800.00,19.08,11.83,0.00,0.00,212.91,367.36
4712400.00,21.40,11.40,0.00,0.00,557.27,356.09
4716000.00,24.04,11.72,0.00,0.66,667.27,366.36
4719600.00,24.34,13.30,0.00,1.92,438.27,388.36
4723200.00,23.94,14.90,0.00,1.39,422.91,390.82
4726800.00,24.32,14.31,0.00,1.67,259.36,402.00
4730400.00,23.38,14.15,0.00,1.46,78.55,400.73
4734000.00,23.21,14.74,0.09,1.74,171.55,391.73
4737600.00,22.95,15.15,0.27,1.41,96.36,396.82
4741200.00,22.49,15.00,0.00,0.68,39.73,397.64
4744800.00,21.98,15.04,0.00,0.20,32.09,381.64
4748400.00,21.42,14.82,0.00,0.68,0.00,391.27
4752000.00,20.75,14.80,0.09,0.40,0.00,395.36
4755600.00,18.16,15.46,0.45,0.58,0.00,396.45
4759200.00,16.74,15.12,1.00,0.56,0.00,404.18
4762800.00,15.22,13.99,0.45,0.00,0.00,398.91
4766400.00,15.20,14.16,0.00,0.00,0.00,401.55
4770000.00,15.13,14.09,0.73,0.00,0.00,401.73
4773600.00,14.16,12.99,0.64,0.40,0.00,393.73
4777200.00,13.50,12.10,0.27,0.00,0.00,391.45
4780800.00,13.55,12.35,0.64,0.20,0.00,392.00
4784400.00,13.79,12.69,0.45,0.00,1.27,396.00
4788000.00,14.11,13.09,0.82,0.00,23.09,398.45
4791600.00,14.59,13.61,0.18,0.00,54.55,401.09
4795200.00,15.08,14.08,0.91,0.00,63.27,404.09
4798800.00,15.40,14.45,0.82,0.10,101.27,406.45
4802400.00,16.35,15.20,0.36,0.00,275.55,418.45
4806000.00,16.33,14.48,0.82,0.38,155.64,410.00
4809600.00,16.39,14.55,0.55,0.48,223.18,409.91
4813200.00,16.89,14.83,0.55,0.00,243.64,410.00
4816800.00,17.07,14.44,0.09,1.44,256.91,400.91
4820400.00,17.54,13.97,0.00,1.57,255.82,362.91
4824000.00,17.88,13.59,0.00,0.86,243.45,355.27
4827600.00,17.29,13.55,0.00,0.45,77.00,372.27
4831200.00,14.86,12.98,0.00,1.49,15.00,368.55
4834800.00,13.83,12.35,0.00,1.57,0.00,368.45
4838400.00,13.27,11.80,0.00,1.87,0.00,365.36
4842000.00,13.13,11.53,0.00,0.58,0.00,347.82
4845600.00,12.99,11.44,0.00,0.10,0.00,332.18
4849200.00,12.75,11.16,0.00,0.30,0.00,311.55
4852800.00,11.92,10.43,0.00,0.00,0.00,282.73
4856400.00,11.35,10.04,0.00,0.00,0.00,328.18
4860000.00,11.23,10.00,0.00,0.00,0.00,330.36
4863600.00,11.09,9.95,0.00,0.00,0.00,332.45
4867200.00,11.17,10.07,0.00,0.00,1.45,310.27
4870800.00,11.08,10.00,0.00,0.00,66.36,265.91
4874400.00,12.11,10.84,0.00,0.10,194.00,288.09
4878000.00,13.62,10.49,0.00,0.00,195.00,341.91
4881600.00,13.92,10.65,0.18,0.20,67.18,363.00
4885200.00,14.74,10.18,0.00,0.51,374.00,351.27
4888800.00,16.13,7.69,0.00,1.49,420.45,342.18
4892400.00,16.82,7.09,0.00,2.20,459.91,335.00
4896000.00,14.95,8.35,0.09,2.37,308.00,345.64
4899600.00,16.30,7.24,0.00,2.27,392.73,334.09
4903200.00,16.79,7.47,0.00,2.42,412.82,320.91
4906800.00,16.70,7.58,0.00,2.75,295.73,322.91
4910400.00,17.30,8.29,0.00,2.55,332.55,331.91
4914000.00,16.66,8.41,0.00,2.35,143.09,331.64
4917600.00,15.59,8.52,0.00,2.25,24.45,349.45
4921200.00,14.21,9.05,0.00,1.67,2.09,313.64
4924800.00,13.27,9.34,0.00,0.78,0.00,308.18
4928400.00,12.93,9.00,0.00,0.30,0.00,288.45
4932000.00,11.83,8.71,0.00,0.00,0.00,293.45
4935600.00,11.17,8.76,0.00,0.00,0.00,310.64
4939200.00,11.07,8.77,0.00,0.00,0.00,306.18
4942800.00,10.84,8.59,0.00,0.00,0.00,308.00
4946400.00,10.80,8.69,0.09,0.00,0.00,314.55
4950000.00,10.68,8.64,0.18,0.00,0.00,319.36
4953600.00,10.47,8.38,0.00,0.00,0.73,304.27
4957200.00,10.68,8.65,0.00,0.00,87.64,272.55
4960800.00,13.00,8.84,0.00,0.10,239.09,279.73
4964400.00,14.11,8.48,0.09,1.67,285.09,281.82
4968000.00,15.73,8.06,1.00,3.21,642.55,299.27
4971600.00,16.38,8.22,0.91,2.75,614.64,304.36
4975200.00,16.55,8.17,0.91,3.36,626.82,317.00
4978800.00,17.36,8.18,1.00,3.51,729.09,310.64
4982400.00,18.01,8.17,1.00,3.69,866.09,305.27
4986000.00,18.57,8.09,1.00,3.46,670.45,315.64
4989600.00,18.23,8.17,1.00,2.93,363.64,333.18
4993200.00,18.22,8.05,1.00,2.98,296.55,321.73
4996800.00,18.04,7.84,1.00,2.80,246.91,313.45
5000400.00,16.96,8.16,0.55,1.92,86.36,319.27
