Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
709200.00,9.11,7.44,0.00,0.00,0.00,274.27
712800.00,8.14,6.62,0.00,0.00,0.00,283.45
716400.00,7.72,6.35,0.00,0.00,0.00,322.09
720000.00,8.34,7.12,0.36,0.00,10.45,342.45
723600.00,9.12,8.11,0.36,0.00,66.82,347.09
727200.00,10.34,9.44,0.45,0.00,166.64,355.36
730800.00,12.21,11.34,0.00,0.00,388.00,325.09
734400.00,16.88,13.70,0.00,0.00,668.36,297.64
738000.00,21.60,13.81,0.00,0.00,806.64,309.64
741600.00,23.97,10.76,0.00,0.40,909.09,312.73
745200.00,25.12,10.88,0.00,0.93,915.64,326.36
748800.00,25.27,11.73,0.00,1.39,740.82,343.91
752400.00,25.41,12.70,0.00,1.04,584.27,372.00
756000.00,25.81,12.35,0.00,2.17,704.55,369.45
759600.00,26.09,11.45,0.00,1.79,585.18,336.36
763200.00,25.93,11.46,0.00,2.15,435.55,328.00
766800.00,25.23,11.62,0.00,1.79,204.00,319.55
770400.00,23.51,12.19,0.00,0.30,52.82,315.82
774000.00,20.31,12.55,0.00,0.10,0.82,311.36
777600.00,17.75,12.68,0.09,0.00,0.00,347.18
781200.00,17.17,12.90,0.00,0.00,0.00,365.55
784800.00,16.64,12.91,0.00,0.00,0.00,333.45
788400.00,15.28,12.44,0.00,0.00,0.00,309.73
792000.00,13.84,11.52,0.09,0.00,0.00,299.27
795600.00,12.49,10.67,0.18,0.00,0.00,292.45
799200.00,11.33,9.76,0.00,0.00,0.00,285.09
802800.00,10.33,8.87,0.00,0.00,0.00,288.73
806400.00,9.84,8.41,0.00,0.00,6.73,308.18
810000.00,11.69,10.16,0.00,0.00,128.64,287.55
813600.00,15.83,11.98,0.00,0.20,268.09,314.55
817200.00,17.46,12.30,0.00,0.00,180.73,361.73
820800.00,17.79,11.91,0.00,2.10,311.27,373.55
824400.00,17.70,12.99,0.00,2.83,560.45,343.45
828000.00,17.50,13.15,0.00,1.54,398.73,368.82
831600.00,17.76,12.77,0.00,1.46,351.82,364.64
835200.00,16.66,12.73,0.18,1.34,77.00,380.00
838800.00,15.91,13.10,0.00,1.49,265.64,372.91
842400.00,16.92,12.79,0.00,1.24,382.55,354.18
846000.00,18.03,12.70,0.00,1.24,419.45,349.64
849600.00,17.79,12.23,0.00,0.96,229.09,351.91
853200.00,16.59,12.33,0.00,1.79,111.09,366.36
856800.00,14.64,11.46,0.00,1.99,9.73,370.73
860400.00,13.68,10.95,0.00,1.92,0.00,358.45
864000.00,12.98,10.54,0.00,0.20,0.00,335.82
867600.00,12.85,10.15,0.00,0.00,0.00,356.36
871200.00,12.88,9.30,0.00,0.20,0.00,362.00
874800.00,12.59,9.17,0.00,0.00,0.00,357.91
878400.00,12.40,9.16,0.00,0.00,0.00,355.45
882000.00,12.11,9.18,0.00,0.00,0.00,355.64
885600.00,12.15,8.76,0.00,0.00,0.00,352.91
889200.00,11.57,8.40,0.00,0.00,0.00,333.55
892800.00,11.05,8.32,0.00,0.00,11.73,328.00
896400.00,11.03,8.25,0.00,0.30,114.45,288.82
900000.00,12.47,8.54,0.00,0.20,315.09,262.55
903600.00,14.29,8.71,0.00,0.00,483.64,277.09
907200.00,16.50,8.89,0.00,0.28,691.00,278.27
910800.00,17.91,9.23,0.00,0.68,847.18,288.45
914400.00,19.29,9.64,0.00,0.30,908.73,299.55
918000.00,20.79,9.15,0.00,0.48,970.27,300.27
921600.00,21.93,8.29,0.00,0.40,978.09,303.91
925200.00,22.85,7.85,0.00,0.78,868.64,308.64
928800.00,23.28,8.62,0.00,1.84,760.09,306.64
932400.00,23.05,9.87,0.00,2.17,590.18,303.55
936000.00,22.29,9.49,0.00,2.25,326.00,301.73
939600.00,21.28,8.95,0.00,1.64,180.91,303.91
943200.00,19.97,9.45,0.00,0.56,56.00,287.45
946800.00,17.84,9.43,0.00,0.30,0.18,284.27
950400.00,14.98,9.17,0.00,0.00,0.00,280.41
954000.00,11.87,8.72,0.00,0.00,0.00,282.09
957600.00,10.65,8.11,0.00,0.00,0.00,291.82
961200.00,9.90,7.66,0.00,0.00,0.00,291.64
964800.00,9.30,7.35,0.00,0.00,0.00,290.82
968400.00,8.86,7.03,0.00,0.00,0.00,298.36
972000.00,8.50,6.75,0.00,0.00,0.00,294.00
975600.00,8.41,6.71,0.00,0.00,0.00,314.73
979200.00,8.63,6.94,0.00,0.00,8.18,315.55
982800.00,9.53,7.78,0.00,0.00,20.64,336.09
986400.00,10.62,8.95,0.45,0.00,43.18,361.73
990000.00,12.43,10.88,0.73,0.20,58.27,379.73
993600.00,13.64,11.83,0.09,0.30,114.82,390.73
997200.00,14.95,13.00,0.00,0.20,184.09,398.09
1000800.00,15.84,13.15,0.00,1.59,202.45,382.09
1004400.00,15.74,12.40,0.00,2.53,117.09,381.27
1008000.00,16.45,12.39,0.00,1.49,120.73,381.64
1011600.00,16.97,11.96,0.00,1.49,99.82,381.27
1015200.00,17.63,11.86,0.00,1.94,102.45,382.45
1018800.00,17.91,11.75,0.00,2.73,87.27,381.73
1022400.00,17.51,11.68,0.00,2.88,92.73,378.73
1026000.00,16.90,11.55,0.00,3.31,92.82,374.55
1029600.00,16.41,11.47,0.00,1.67,5.00,377.45
1033200.00,16.16,11.11,0.00,1.26,0.00,371.91
1036800.00,15.45,9.99,0.00,1.97,0.00,317.64
1040400.00,14.88,8.69,0.00,1.59,0.00,347.36
1044000.00,14.91,7.74,0.00,1.67,0.00,354.45
1047600.00,14.66,7.90,0.00,2.27,0.00,354.73
1051200.00,14.48,8.32,0.00,1.19,0.00,354.36
1054800.00,14.33,8.52,0.00,0.93,0.00,360.82
1058400.00,14.23,8.62,0.00,1.89,0.00,361.00
1062000.00,13.97,8.90,0.00,1.06,0.00,355.36
1065600.00,13.70,9.16,0.00,1.26,0.00,352.27
1069200.00,13.73,9.25,0.00,1.54,2.55,352.45
1072800.00,13.78,9.58,0.36,1.49,9.00,361.91
1076400.00,14.01,10.17,0.00,2.42,17.18,369.73
1080000.00,14.63,10.04,0.00,2.98,69.18,365.00
1083600.00,15.60,10.39,0.00,3.81,165.18,365.09
1087200.00,16.49,10.80,0.00,4.34,311.45,362.73
1090800.00,15.67,11.56,0.45,2.80,122.27,378.09
1094400.00,15.56,11.77,0.18,2.20,119.73,369.82
1098000.00,15.96,11.41,0.36,4.49,144.64,367.64
1101600.00,16.58,10.95,0.00,3.84,130.18,370.64
1105200.00,17.17,10.61,0.00,2.25,89.91,369.73
1108800.00,17.23,10.06,0.00,2.90,50.09,368.09
1112400.00,16.63,9.99,0.00,3.43,32.91,363.91
1116000.00,16.45,9.21,0.00,3.96,6.64,363.27
1119600.00,15.28,10.40,0.00,3.08,0.00,360.36
1123200.00,14.94,11.15,0.18,3.69,0.00,360.91
1126800.00,15.49,11.13,0.00,2.80,0.00,358.64
1130400.00,16.00,11.28,0.00,3.89,0.00,362.91
1134000.00,15.97,11.36,0.00,4.39,0.00,355.09
1137600.00,16.08,11.22,0.09,4.39,0.00,358.27
1141200.00,16.27,10.60,0.00,4.19,0.00,345.09
1144800.00,16.40,10.47,0.00,4.60,0.00,348.36
1148400.00,16.32,9.96,0.00,4.90,0.00,348.09
1152000.00,16.56,9.78,0.00,4.34,17.64,354.82
